"ID Number","_date","year","month","day","end day","display_month","Season","Category","Text","date"
924,,1923,2.00,14,0,,,,"Daily newspapers Dispatch and Leader ceased publication.",10/23/2001 13:25:19
925,,1923,3.00,4,0,,,,"Alexander Moore, of Pittsburgh, was appointed ambassador to Spain.",10/23/2001 13:25:33
926,,1923,6.00,5,0,,,,"The Pittsburgh Skin and Cancer Foundation opened a clinic at 1901 Fifth Avenue.",10/23/2001 13:27:06
927,,1923,6.00,6,0,,,,"Governor Pinchot created a Metropolitan Plan Commission for the city.",10/23/2001 13:27:35
928,,1923,8.00,0,0,,,,"Harry Greb, of Pittsburgh, defeated Johnny Wilson in New York to win the middleweight title he held for three years.",10/23/2001 13:27:47
929,,1923,8.00,0,0,,,,"The city's first zoning ordinance, one of the earliest in the United States, became effective amid claims of opposition that it would discourage construction in the city.",10/23/2001 13:28:01
930,,1923,10.00,2,0,,,,"Boulevard of the Allies was opened to traffic.",10/23/2001 13:28:24
931,,1923,10.00,24,0,,,,"Historic Mount Mercy Academy, on Fifth Avenue, suffered $100,000 damages in a fire which injured seven.",10/23/2001 13:28:36
932,,1923,10.00,24,0,,,,"In a speech at Syria Mosque, David Lloyd George, war-time Premier of Great Britain, pleaded for mercy to end wars.",10/23/2001 13:28:56
933,,1923,10.00,27,0,,,,"The last horse car on Sarah Street suspended operation.",10/23/2001 13:29:10
934,,1923,10.00,0,0,,,,"The Municipal Planning Association issued its final report; it included recommendations for canalization of the Ohio River, a river rail terminal, greater use of wharves, and a system of water-storage reservoirs for flood protection advocated by the 1911 Flood Commission.",10/23/2001 13:30:07
935,,1923,11.00,13,0,,,,"Twenty thousand persons attended formal opening of new banking room of Union Trust Company at Fifth and Grant.",10/23/2001 13:31:37
936,,1923,11.00,13,0,,,,"The first unit traffic-light system was installed as an experiment at all corners intersecting the Boulevard of the Allies in the downtown area.",10/23/2001 13:32:12
937,,1923,0.00,0,0,,,,"Jones and Laughlin became a corporation and sold its first stock on the open market.",10/23/2001 13:33:32
938,,1924,1.00,1,0,,,,"The Schenley Apartments, consisting of five structures in a new-type housing development, were ready for occupancy at monthly rents of $150 and up.",10/23/2001 13:33:45
